individual distance ecotype
1 ER_EA1_010 42.847214476 wave
2 ER_EA1_013 44.372868736 wave
3 ER_EA1_017 43.730031266 wave
4 ER_EA1_020 42.789451656 wave
5 ER_EA1_023 43.816021286 wave
6 ER_EA1_030 40.136248656 wave
7 ER_EA1_038 42.665748406 wave
8 ER_EA1_041 40.686707946 wave
9 ER_EA1_042 40.332857756 wave
10 ER_EA1_050 40.094090656 wave
11 ER_EA1_051 39.636201956 wave
12 ER_EA1_054 39.397819686 wave
13 ER_EA1_056 39.217046296 wave
14 ER_EA1_088 37.088155166 wave
15 ER_EA1_108 34.173732926 wave
16 ER_EA1_121 35.042184896 wave
17 ER_EA1_122 34.924304226 wave
18 ER_EA1_123 34.942984776 wave
19 ER_EA1_125 35.487748026 wave
20 ER_EA1_126 35.839908456 wave
21 ER_EA1_161 30.569547776 wave
22 ER_EA1_168 30.151747786 hybrid
23 ER_EA1_190 29.444785886 wave
24 ER_EA1_198 27.880322686 hybrid
25 ER_EA1_199 28.539939076 wave
26 ER_EA1_203 27.207050186 wave
27 ER_EA1_212 26.510588036 crab
28 ER_EA1_224 36.565555786 wave
29 ER_EA1_232 35.452745996 wave
30 ER_EA1_233 34.481957316 hybrid
31 ER_EA1_246 31.081108686 hybrid
32 ER_EA1_248 31.708225896 hybrid
33 ER_EA1_251 31.839952836 wave
34 ER_EA1_252 31.622736156 hybrid
35 ER_EA1_256 31.819075866 hybrid
36 ER_EA1_265 28.226986506 hybrid
37 ER_EA1_275 29.390439786 hybrid
38 ER_EA1_278 31.227516856 hybrid
39 ER_EA1_281 30.793256656 hybrid
40 ER_EA1_306 39.736988656 wave
41 ER_EA1_307 38.546347216 wave
42 ER_EA1_311 39.679341276 wave
43 ER_EA1_319 32.773297666 wave
44 ER_EA1_322 31.832044606 hybrid
45 ER_EA1_338 29.690798766 hybrid
46 ER_EA1_342 28.423903466 crab
47 ER_EA1_367 25.636933936 hybrid
48 ER_EA1_369 25.838257186 hybrid
49 ER_EA1_402 24.202832506 hybrid
50 ER_EA1_404 24.452700866 hybrid
51 ER_EA1_405 24.889116976 hybrid
52 ER_EA1_406 22.741434366 hybrid
53 ER_EA1_411 20.022900156 hybrid
54 ER_EA1_423 13.587002476 crab
55 ER_EA1_431 14.510916326 crab
56 ER_EA1_440 12.021701876 hybrid
57 ER_EA1_444 8.288685386 crab
58 ER_EA1_453 8.413136446 crab
59 ER_EA1_474 22.065317476 hybrid
60 ER_EA1_492 17.287127656 hybrid
61 ER_EA1_493 20.670966846 hybrid
62 ER_EA1_499 12.535279376 crab
63 ER_EA1_509 10.248106406 crab
64 ER_EA1_513 8.576024746 crab
65 ER_EA1_521 9.212589506 hybrid
66 ER_EA1_524 8.568116506 hybrid
67 ER_EA1_527 5.154279904 crab
68 ER_EA1_535 13.062725896 crab
69 ER_EA1_541 12.581189466 crab
70 ER_EA1_547 5.053781831 crab
71 ER_EA1_570 0 crab
72 ER_EA1_580 5.138888319 crab
73 ER_EA1_581 7.070842873 crab
